Sample,Site,Date,Week,Year,Graph-Title
WWS-00001,Site-15,11/11/2021,11/08/2021,2021,"Site 15"
WWS-00002,Site-13,11/11/2021,11/08/2021,2021,"Site 13"
WWS-00003,Site-16,11/11/2021,11/08/2021,2021,"Site 16"
WWS-00017,Theresa-St,12/02/2021,11/29/2021,2021,"Theresa St. Lincoln, NE"
WWS-00024,Site-15,12/09/2021,12/06/2021,2021,"Site 15"
WWS-00025,Site-13,11/29/2021,11/29/2021,2021,"Site 13"
WWS-00026,Theresa-St,12/09/2021,12/06/2021,2021,"Theresa St. Lincoln, NE"
WWS-00027,Theresa-St,12/07/2021,12/06/2021,2021,"Theresa St. Lincoln, NE"
WWS-00028,Missouri-River,12/15/2021,12/13/2021,2021,"Missouri River Omaha, NE"
WWS-00029,Theresa-St,12/14/2021,12/13/2021,2021,"Theresa St. Lincoln, NE"
WWS-00030,Missouri-River,12/13/2021,12/13/2021,2021,"Missouri River Omaha, NE"
WWS-00031,Papillion-Creek,12/13/2021,12/13/2021,2021,"Papillion Creek Papillion, NE"
WWS-00032,Papillion-Creek,12/15/2021,12/13/2021,2021,"Papillion Creek Papillion, NE"
WWS-00033,Eppley,12/14/2021,12/13/2021,2021,"Eppley Airfield Omaha, NE"
WWS-00034,Theresa-St,12/16/2021,12/13/2021,2021,"Theresa St. Lincoln, NE"
WWS-00035,Theresa-St,12/21/2021,12/20/2021,2021,"Theresa St. Lincoln, NE"
WWS-00036,Theresa-St,12/23/2021,12/20/2021,2021,"Theresa St. Lincoln, NE"
WWS-00037,Papillion-Creek,12/20/2021,12/20/2021,2021,"Papillion Creek Papillion, NE"
WWS-00038,Papillion-Creek,12/22/2021,12/20/2021,2021,"Papillion Creek Papillion, NE"
WWS-00039,Missouri-River,12/20/2021,12/20/2021,2021,"Missouri River Omaha, NE"
WWS-00040,Missouri-River,12/22/2021,12/20/2021,2021,"Missouri River Omaha, NE"
WWS-00041,Theresa-St,12/28/2021,12/27/2021,2021,"Theresa St. Lincoln, NE"
WWS-00042,Theresa-St,12/30/2021,12/27/2021,2021,"Theresa St. Lincoln, NE"
WWS-00043,Papillion-Creek,12/27/2021,12/27/2021,2021,"Papillion Creek Papillion, NE"
WWS-00044,Papillion-Creek,12/29/2021,12/27/2021,2021,"Papillion Creek Papillion, NE"
WWS-00045,Missouri-River,12/27/2021,12/27/2021,2021,"Missouri River Omaha, NE"
WWS-00046,Missouri-River,12/29/2021,12/27/2021,2021,"Missouri River Omaha, NE"
WWS-00047,Theresa-St,01/04/2022,01/03/2022,2022,"Theresa St. Lincoln, NE"
WWS-00048,Theresa-St,01/06/2022,01/03/2022,2022,"Theresa St. Lincoln, NE"
WWS-00049,Papillion-Creek,01/03/2022,01/03/2022,2022,"Papillion Creek Papillion, NE"
WWS-00050,Papillion-Creek,01/05/2022,01/03/2022,2022,"Papillion Creek Papillion, NE"
WWS-00051,Missouri-River,01/03/2022,01/03/2022,2022,"Missouri River Omaha, NE"
WWS-00052,Missouri-River,01/05/2022,01/03/2022,2022,"Missouri River Omaha, NE"
WWS-00053,Theresa-St,01/11/2022,01/10/2022,2022,"Theresa St. Lincoln, NE"
WWS-00054,Theresa-St,01/13/2022,01/10/2022,2022,"Theresa St. Lincoln, NE"
WWS-00055,Papillion-Creek,01/10/2022,01/10/2022,2022,"Papillion Creek Papillion, NE"
WWS-00056,Papillion-Creek,01/12/2022,01/10/2022,2022,"Papillion Creek Papillion, NE"
WWS-00057,Missouri-River,01/10/2022,01/10/2022,2022,"Missouri River Omaha, NE"
