Lineage,Parent,Label
AY.1,B.1.617.2,Delta
AY.10,B.1.617.2,Delta
AY.100,B.1.617.2,Delta
AY.101,B.1.617.2,Delta
AY.102,B.1.617.2,Delta
AY.103,B.1.617.2,Delta
AY.103.1,B.1.617.2,Delta
AY.104,B.1.617.2,Delta
AY.105,B.1.617.2,Delta
AY.106,B.1.617.2,Delta
AY.107,B.1.617.2,Delta
AY.108,B.1.617.2,Delta
AY.109,B.1.617.2,Delta
AY.11,B.1.617.2,Delta
AY.110,B.1.617.2,Delta
AY.111,B.1.617.2,Delta
AY.112,B.1.617.2,Delta
AY.112.1,B.1.617.2,Delta
AY.112.2,B.1.617.2,Delta
AY.112.3,B.1.617.2,Delta
AY.113,B.1.617.2,Delta
AY.114,B.1.617.2,Delta
AY.116,B.1.617.2,Delta
AY.116.1,B.1.617.2,Delta
AY.117,B.1.617.2,Delta
AY.118,B.1.617.2,Delta
AY.119,B.1.617.2,Delta
AY.119.1,B.1.617.2,Delta
AY.119.2,B.1.617.2,Delta
AY.120,B.1.617.2,Delta
AY.120.1,B.1.617.2,Delta
AY.120.2,B.1.617.2,Delta
AY.120.2.1,B.1.617.2,Delta
AY.121,B.1.617.2,Delta
AY.121.1,B.1.617.2,Delta
AY.122,B.1.617.2,Delta
AY.122.1,B.1.617.2,Delta
AY.122.2,B.1.617.2,Delta
AY.122.3,B.1.617.2,Delta
AY.122.4,B.1.617.2,Delta
AY.122.5,B.1.617.2,Delta
AY.122.6,B.1.617.2,Delta
AY.123,B.1.617.2,Delta
AY.123.1,B.1.617.2,Delta
AY.124,B.1.617.2,Delta
AY.124.1,B.1.617.2,Delta
AY.124.1.1,B.1.617.2,Delta
AY.125,B.1.617.2,Delta
AY.125.1,B.1.617.2,Delta
AY.126,B.1.617.2,Delta
AY.127,B.1.617.2,Delta
AY.127.1,B.1.617.2,Delta
AY.128,B.1.617.2,Delta
AY.129,B.1.617.2,Delta
AY.13,B.1.617.2,Delta
AY.130,B.1.617.2,Delta
AY.131,B.1.617.2,Delta
AY.132,B.1.617.2,Delta
AY.133,B.1.617.2,Delta
AY.134,B.1.617.2,Delta
AY.14,B.1.617.2,Delta
AY.15,B.1.617.2,Delta
AY.16,B.1.617.2,Delta
AY.16.1,B.1.617.2,Delta
AY.17,B.1.617.2,Delta
AY.19,B.1.617.2,Delta
AY.2,B.1.617.2,Delta
AY.20,B.1.617.2,Delta
AY.20.1,B.1.617.2,Delta
AY.21,B.1.617.2,Delta
AY.22,B.1.617.2,Delta
AY.23,B.1.617.2,Delta
AY.23.1,B.1.617.2,Delta
AY.23.2,B.1.617.2,Delta
AY.24,B.1.617.2,Delta
AY.24.1,B.1.617.2,Delta
AY.25,B.1.617.2,Delta
AY.25.1,B.1.617.2,Delta
AY.25.1.1,B.1.617.2,Delta
AY.25.1.2,B.1.617.2,Delta
AY.25.2,B.1.617.2,Delta
AY.25.3,B.1.617.2,Delta
AY.26,B.1.617.2,Delta
AY.26.1,B.1.617.2,Delta
AY.27,B.1.617.2,Delta
AY.28,B.1.617.2,Delta
AY.29,B.1.617.2,Delta
AY.29.1,B.1.617.2,Delta
AY.29.2,B.1.617.2,Delta
AY.3,B.1.617.2,Delta
AY.3.1,B.1.617.2,Delta
AY.3.3,B.1.617.2,Delta
AY.3.4,B.1.617.2,Delta
AY.30,B.1.617.2,Delta
AY.31,B.1.617.2,Delta
AY.32,B.1.617.2,Delta
AY.33,B.1.617.2,Delta
AY.33.1,B.1.617.2,Delta
AY.33.2,B.1.617.2,Delta
AY.34,B.1.617.2,Delta
AY.34.1,B.1.617.2,Delta
AY.34.1.1,B.1.617.2,Delta
AY.34.2,B.1.617.2,Delta
AY.35,B.1.617.2,Delta
AY.36,B.1.617.2,Delta
AY.36.1,B.1.617.2,Delta
AY.37,B.1.617.2,Delta
AY.38,B.1.617.2,Delta
AY.39,B.1.617.2,Delta
AY.39.1,B.1.617.2,Delta
AY.39.1.1,B.1.617.2,Delta
AY.39.1.2,B.1.617.2,Delta
AY.39.1.3,B.1.617.2,Delta
AY.39.1.4,B.1.617.2,Delta
AY.39.2,B.1.617.2,Delta
AY.39.3,B.1.617.2,Delta
AY.4,B.1.617.2,Delta
AY.4.1,B.1.617.2,Delta
AY.4.10,B.1.617.2,Delta
AY.4.11,B.1.617.2,Delta
AY.4.12,B.1.617.2,Delta
AY.4.13,B.1.617.2,Delta
AY.4.14,B.1.617.2,Delta
AY.4.15,B.1.617.2,Delta
AY.4.16,B.1.617.2,Delta
AY.4.17,B.1.617.2,Delta
AY.4.2,B.1.617.2,Delta
AY.4.2.1,B.1.617.2,Delta
AY.4.2.2,B.1.617.2,Delta
AY.4.2.3,B.1.617.2,Delta
AY.4.2.4,B.1.617.2,Delta
AY.4.2.5,B.1.617.2,Delta
AY.4.3,B.1.617.2,Delta
AY.4.4,B.1.617.2,Delta
AY.4.5,B.1.617.2,Delta
AY.4.6,B.1.617.2,Delta
AY.4.7,B.1.617.2,Delta
AY.4.8,B.1.617.2,Delta
AY.4.9,B.1.617.2,Delta
AY.41,B.1.617.2,Delta
AY.42,B.1.617.2,Delta
AY.42.1,B.1.617.2,Delta
AY.43,B.1.617.2,Delta
AY.43.1,B.1.617.2,Delta
AY.43.2,B.1.617.2,Delta
AY.43.3,B.1.617.2,Delta
AY.43.4,B.1.617.2,Delta
AY.43.5,B.1.617.2,Delta
AY.43.6,B.1.617.2,Delta
AY.43.7,B.1.617.2,Delta
AY.43.8,B.1.617.2,Delta
AY.43.9,B.1.617.2,Delta
AY.44,B.1.617.2,Delta
AY.45,B.1.617.2,Delta
AY.46,B.1.617.2,Delta
AY.46.1,B.1.617.2,Delta
AY.46.2,B.1.617.2,Delta
AY.46.3,B.1.617.2,Delta
AY.46.4,B.1.617.2,Delta
AY.46.5,B.1.617.2,Delta
AY.46.6,B.1.617.2,Delta
AY.46.6.1,B.1.617.2,Delta
AY.47,B.1.617.2,Delta
AY.48,B.1.617.2,Delta
AY.49,B.1.617.2,Delta
AY.5,B.1.617.2,Delta
AY.5.1,B.1.617.2,Delta
AY.5.2,B.1.617.2,Delta
AY.5.3,B.1.617.2,Delta
AY.5.4,B.1.617.2,Delta
AY.5.5,B.1.617.2,Delta
AY.5.6,B.1.617.2,Delta
AY.50,B.1.617.2,Delta
AY.51,B.1.617.2,Delta
AY.52,B.1.617.2,Delta
AY.53,B.1.617.2,Delta
AY.54,B.1.617.2,Delta
AY.55,B.1.617.2,Delta
AY.56,B.1.617.2,Delta
AY.57,B.1.617.2,Delta
AY.58,B.1.617.2,Delta
AY.59,B.1.617.2,Delta
AY.6,B.1.617.2,Delta
AY.60,B.1.617.2,Delta
AY.61,B.1.617.2,Delta
AY.62,B.1.617.2,Delta
AY.63,B.1.617.2,Delta
AY.64,B.1.617.2,Delta
AY.65,B.1.617.2,Delta
AY.66,B.1.617.2,Delta
AY.67,B.1.617.2,Delta
AY.68,B.1.617.2,Delta
AY.69,B.1.617.2,Delta
AY.7,B.1.617.2,Delta
AY.7.1,B.1.617.2,Delta
AY.7.2,B.1.617.2,Delta
AY.70,B.1.617.2,Delta
AY.71,B.1.617.2,Delta
AY.72,B.1.617.2,Delta
AY.73,B.1.617.2,Delta
AY.74,B.1.617.2,Delta
AY.75,B.1.617.2,Delta
AY.75.2,B.1.617.2,Delta
AY.75.3,B.1.617.2,Delta
AY.76,B.1.617.2,Delta
AY.77,B.1.617.2,Delta
AY.78,B.1.617.2,Delta
AY.79,B.1.617.2,Delta
AY.8,B.1.617.2,Delta
AY.80,B.1.617.2,Delta
AY.81,B.1.617.2,Delta
AY.82,B.1.617.2,Delta
AY.83,B.1.617.2,Delta
AY.84,B.1.617.2,Delta
AY.85,B.1.617.2,Delta
AY.86,B.1.617.2,Delta
AY.87,B.1.617.2,Delta
AY.88,B.1.617.2,Delta
AY.9,B.1.617.2,Delta
AY.9.2,B.1.617.2,Delta
AY.9.2.2,B.1.617.2,Delta
AY.90,B.1.617.2,Delta
AY.91,B.1.617.2,Delta
AY.91.1,B.1.617.2,Delta
AY.92,B.1.617.2,Delta
AY.93,B.1.617.2,Delta
